lang,label,sentence
en,ovos-skill-weather.openvoiceos:N_days_forecast,what is the 3 day forecast
en,ovos-skill-weather.openvoiceos:N_days_forecast,what is the weather forecast
en,ovos-skill-weather.openvoiceos:weather,what's the weather like
en,ovos-skill-weather.openvoiceos:weather,how's the weather tomorrow
en,ovos-skill-weather.openvoiceos:weather,what's the forecast for friday 9 pm
en,ovos-skill-weather.openvoiceos:weather,what's tomorrow's forecast in seattle
en,ovos-skill-weather.openvoiceos:outside,what's it like outside
en,ovos-skill-weather.openvoiceos:week_weather,weather for week
en,ovos-skill-weather.openvoiceos:week_weather,what's the week's forecast
en,ovos-skill-weather.openvoiceos:week_weather,what's this week's weather
en,ovos-skill-weather.openvoiceos:week_weather,tell me the weather this week
en,ovos-skill-weather.openvoiceos:week_weather,what is the weather forecast for this week
en,ovos-skill-weather.openvoiceos:week_weather,how is the weather likely to be this week
en,ovos-skill-weather.openvoiceos:week_weather,what's the weather for my location this week
en,ovos-skill-weather.openvoiceos:week_weather,will it be nice outside this week
en,ovos-skill-weather.openvoiceos:week_weather,weekly weather report
en,ovos-skill-weather.openvoiceos:week_weather,what is the weather this week for miami
en,ovos-skill-weather.openvoiceos:week_weather,what is the forecast for the week
en,ovos-skill-weather.openvoiceos:week_weather,give me the weather forecast for this week
en,ovos-skill-weather.openvoiceos:week_weather,what is the weather for this week
en,ovos-skill-weather.openvoiceos:week_weather,what was the weather for the week
en,ovos-skill-weather.openvoiceos:week_weather,what kind of weather should i expect this week
en,ovos-skill-weather.openvoiceos:week_weather,tell me about this week's weather
en,ovos-skill-weather.openvoiceos:week_weather,info on this week weather
en,ovos-skill-weather.openvoiceos:weekend_forecast,weekend weather forecast
en,ovos-skill-weather.openvoiceos:current_temperature,what is the temperature in celsius
en,ovos-skill-weather.openvoiceos:current_temperature,what is the temperature in baltimore now
en,ovos-skill-weather.openvoiceos:daily_temperature,what is the temperature
en,ovos-skill-weather.openvoiceos:hourly_temperature,what is the temperature tonight
en,ovos-skill-weather.openvoiceos:hourly_temperature,what is the temperature tomorrow morning
en,ovos-skill-weather.openvoiceos:high_temperature,what is the high temperature tomorrow
en,ovos-skill-weather.openvoiceos:high_temperature,what is the high temperature in london on tuesday
en,ovos-skill-weather.openvoiceos:low_temperature,what is the low temperature tomorrow
en,ovos-skill-weather.openvoiceos:low_temperature,what is the low temperature in london on tuesday
en,ovos-skill-weather.openvoiceos:is_hot_cold,is it going to be hot today
en,ovos-skill-weather.openvoiceos:is_hot_cold,how cold will it be today
en,ovos-skill-weather.openvoiceos:is_hot_cold,how cold is today
en,ovos-skill-weather.openvoiceos:is_hot_cold,how hot will it be today
en,ovos-skill-weather.openvoiceos:is_hot_cold,how hot is today
en,ovos-skill-weather.openvoiceos:is_wind,is it windy today
en,ovos-skill-weather.openvoiceos:is_wind,how windy is it
en,ovos-skill-weather.openvoiceos:is_snow,is it snowing today
en,ovos-skill-weather.openvoiceos:is_snow,is there snow in the forecast
en,ovos-skill-weather.openvoiceos:is_clear,is the sky clear today
en,ovos-skill-weather.openvoiceos:is_clear,it is a sunny day today right
en,ovos-skill-weather.openvoiceos:is_cloudy,is it cloudy today
en,ovos-skill-weather.openvoiceos:is_fog,is it foggy today
en,ovos-skill-weather.openvoiceos:do-i-need-an-umbrella.intent,is it raining today
en,ovos-skill-weather.openvoiceos:do-i-need-an-umbrella.intent,is it going to rain
en,ovos-skill-weather.openvoiceos:do-i-need-an-umbrella.intent,is it going to rain later
en,ovos-skill-weather.openvoiceos:do-i-need-an-umbrella.intent,is it raining tonight
en,ovos-skill-weather.openvoiceos:do-i-need-an-umbrella.intent,is it going to rain on monday
en,ovos-skill-weather.openvoiceos:do-i-need-an-umbrella.intent,should we expect rain this afternoon
en,ovos-skill-weather.openvoiceos:do-i-need-an-umbrella.intent,is it going to rain at one p. m. today
en,ovos-skill-weather.openvoiceos:do-i-need-an-umbrella,will i need an umbrella today
en,ovos-skill-weather.openvoiceos:is_stormy,is it storming today
en,ovos-skill-weather.openvoiceos:next_rain,when will it rain next
en,ovos-skill-weather.openvoiceos:humidity,how humid is it
en,ovos-skill-weather.openvoiceos:sunrise,when is the sunrise
en,ovos-skill-weather.openvoiceos:sunset,when is the sunset
en,ovos-skill-volume.openvoiceos:increase_volume,can you speak a little louder
en,ovos-skill-volume.openvoiceos:increase_volume,please speak loud
en,ovos-skill-volume.openvoiceos:increase_volume,turn up sound
en,ovos-skill-volume.openvoiceos:increase_volume,turn up the volume
en,ovos-skill-volume.openvoiceos:increase_volume,volume louder please
en,ovos-skill-volume.openvoiceos:less_volume,turn down volume
en,ovos-skill-volume.openvoiceos:less_volume,quieter
en,ovos-skill-volume.openvoiceos:less_volume,you're too loud
en,ovos-skill-volume.openvoiceos:less_volume,please decrease the volume
en,ovos-skill-volume.openvoiceos:volume.mute,speakers off
en,ovos-skill-volume.openvoiceos:volume.mute,can you mute
en,ovos-skill-alerts.openvoiceos:CreateAlarm,set an alarm for 8 am
en,ovos-skill-alerts.openvoiceos:CreateTimer,set a bread timer for 30 minutes
en,ovos-skill-alerts.openvoiceos:CreateEvent,schedule a tennis event for 2 pm on friday spanning 2 hours
en,ovos-skill-alerts.openvoiceos:CreateAlarm,set a daily alarm for 8 am
en,ovos-skill-alerts.openvoiceos:CreateAlarm,set an alarm for 8 am on saturdays
en,ovos-skill-alerts.openvoiceos:CreateReminder,remind me to take out the trash every thursday and sunday at 7 pm
en,ovos-skill-alerts.openvoiceos:CreateOcpAlarm,wake me up at 8 am with music
en,ovos-skill-alerts.openvoiceos:CreateOcpAlarm,wake me with music
en,ovos-skill-alerts.openvoiceos:RescheduleAlert,reschedule my 8 am alarm at 9 am
en,ovos-skill-alerts.openvoiceos:RescheduleAlert,push the tennis event by one hour.
en,ovos-skill-alerts.openvoiceos:RescheduleAlert,move my next event one hour earlier
en,ovos-skill-alerts.openvoiceos:ChangeProperties,extend the bread timer by 2 minutes
en,ovos-skill-alerts.openvoiceos:ChangeProperties,extend the bread timer until 10 am
en,ovos-skill-alerts.openvoiceos:ChangeProperties,change the 8 am alarm recurring only mondays and tuesdays.
en,ovos-skill-alerts.openvoiceos:ChangeProperties,change tennis event length to 3 hours.
en,ovos-skill-alerts.openvoiceos:ListAlerts,when is my next alarm.
en,ovos-skill-alerts.openvoiceos:ListAlerts,which reminders are scheduled today
en,ovos-skill-alerts.openvoiceos:ListAlerts,are there any events between friday and sunday
en,ovos-skill-alerts.openvoiceos:ListAlerts,are there any events between friday 10am and 3 pm
en,ovos-skill-alerts.openvoiceos:ListAlerts,are there any events pending between monday 10:00 am and 12:00 am
en,ovos-skill-alerts.openvoiceos:ListAlerts,are there any events stored on tuesday
en,ovos-skill-alerts.openvoiceos:ListAlerts,are there any events at 8 pm
en,ovos-skill-alerts.openvoiceos:TimerStatus,how much time is left on my bread timer
en,ovos-skill-alerts.openvoiceos:CancelAlert,cancel my 8 am alarm
en,ovos-skill-alerts.openvoiceos:CancelAlert',cancel all alerts
en,ovos-skill-alerts.openvoiceos:CancelAlert,cancel all alarms
en,ovos-skill-alerts.openvoiceos:CancelAlert,cancel alerts on saturday.
en,ovos-skill-alerts.openvoiceos:CancelAlert,cancel alerts between friday 8 am and 10 am
en,ovos-skill-alerts.openvoiceos:CancelAlert,cancel my next alarm.
en,ovos-skill-alerts.openvoiceos:missed_alerts.intent,which alert did i miss?
en,ovos-skill-alerts.openvoiceos:missed_alerts.intent,missed any alerts?
en,ovos-skill-alerts.openvoiceos:CreateReminder,remind me to walk the dog
en,ovos-skill-alerts.openvoiceos:CreateList,create a shopping list
en,ovos-skill-alerts.openvoiceos:AddListSubitems,add items to the shopping list
en,ovos-skill-alerts.openvoiceos:DeleteListEntries,scratch milk entry from the shopping list
en,ovos-skill-alerts.openvoiceos:DeleteListEntries,remove items from the shopping list
en,ovos-skill-alerts.openvoiceos:DeleteListEntries,remove all items on the shopping list
en,ovos-skill-alerts.openvoiceos:DeleteList,remove shopping list
en,ovos-skill-alerts.openvoiceos:DeleteTodoEntries,remove walk the dog note
en,ovos-skill-alerts.openvoiceos:DeleteTodoEntries,remove todo entry
en,ovos-skill-alerts.openvoiceos:DeleteTodoEntries,remove all memos
en,ovos-skill-alerts.openvoiceos:QueryListNames,which lists are stored?
en,ovos-skill-alerts.openvoiceos:QueryListEntries,which items are on the shopping list?
en,ovos-skill-alerts.openvoiceos:QueryTodoEntries,anything todo?
en,ovos-skill-alerts.openvoiceos:CalendarList,which calendars are available?
en,ovos-skill-alerts.openvoiceos:DAVSync,synchronize calendars
en,ovos-skill-weather.openvoiceos:high_temperature,what's the high temperature tomorrow
en,ovos-skill-alerts.openvoiceos:ListAlerts,when is my next alarm
en,ovos-skill-volume.openvoiceos:volume.default.intent,reset volume
en,ovos-skill-volume.openvoiceos:volume.max.intent,set volume level to maximum
en,ovos-skill-volume.openvoiceos:volume.high.intent,volume high
en,ovos-skill-volume.openvoiceos:volume.high.intent,high volume
en,ovos-skill-ip.openvoiceos:IPIntent,tell me your network address
en,ovos-skill-parrot.openvoiceos:repeat.tts.intent,can you repeat that
en,ovos-skill-ip.openvoiceos:IPIntent,what's your network address
en,ovos-skill-weather.openvoiceos:weekend_forecast,what is the weather this weekend
en,ovos-skill-weather.openvoiceos:is_snow,is it going to snow
en,ovos-skill-weather.openvoiceos:weather,what is the forecast in london tomorrow
en,ovos-skill-confucius-quotes.openvoiceos:who.intent,who is confucius
en,ovos-skill-volume.openvoiceos:volume.max.intent,set volume to maximum
en,ovos-skill-confucius-quotes.openvoiceos:ConfuciusQuote,quote from confucius
en,ovos-skill-weather.openvoiceos:is_snow,is it going to snow in baltimore
en,ovos-skill-moviemaster.openvoiceos:movie.year.intent,when was the movie _______ made
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me a joke
